B,Dia,Torque,F,BearingType,A,L,L2,d1,K,M,N,Q,P,H1,h2,h3,b1,d0,Inertia,Weight,CAD_Code
400,250,0.63,15,22210,750,500,445,40,110,70,,260,320,90,33,43,12,M16,0.58,98,40A102Y(Z)
400,315,0.63,12,22210,750,500,445,40,110,70,,260,320,90,33,43,12,M16,1.17,112,40A103Y(Z)
400,315,1,20,22212,750,500,450,50,110,70,,280,340,100,33,53.5,14,M16,1.3,141,40A203Y(Z)
400,400,1,15,22210,750,500,445,40,110,70,,260,320,90,33,43,12,M16,2.4,132,40A104Y(Z)
400,400,1.6,24,22212,750,500,450,50,110,70,,280,340,100,33,53.5,14,M16,2.6,160,40A204Y(Z)
500,250,0.63,15,22210,850,600,495,40,110,70,,260,320,90,33,43,12,M16,0.67,109,50A102Y(Z)
500,315,0.63,12,22210,850,600,495,40,110,70,,260,320,90,33,43,12,M16,1.36,125,50A103Y(Z)
500,315,1,20,22212,850,600,495,50,110,70,,280,340,100,33,53.5,14,M16,1.5,156,50A203Y(Z)
500,400,1.25,20,22210,850,600,495,40,110,70,,260,320,90,33,43,12,M16,2.8,148,50A104Y(Z)
500,400,2,30,22212,850,600,495,50,110,70,,280,340,100,33,53.5,14,M16,3,179,50A204Y(Z)
500,500,1.6,30,22212,850,600,495,50,110,70,,280,340,100,33,53.5,14,M16,5.9,206,50A105Y(Z)
500,500,2.7,49,22216,850,600,495,70,140,70,,350,410,120,33,74.5,20,M20,6.5,256,50A205Y(Z)
650,315,1.25,25,22210,1000,750,570,40,110,70,,260,320,90,33,43,12,M16,1.6,144,65A103Y(Z)
650,400,1.25,25,22210,1000,750,570,40,110,70,,260,320,90,33,43,12,M16,3.3,170,65A104Y(Z)
650,400,2,35,22212,1000,750,570,50,110,70,,280,340,100,33,53.5,14,M16,3.5,204,65A204Y(Z)
650,500,3.5,40,22216,1000,750,570,70,140,70,,350,410,120,33,74.5,20,M20,7.8,291,65A105Y(Z)
650,500,6.3,59,22220,1000,750,590,90,170,80,,380,460,135,46,95,25,M24,7.8,390,65A205Y(Z)
650,630,4.1,40,22216,1000,750,570,70,140,70,,350,410,120,33,74.5,20,M20,18.5,339,65A106Y(Z)
650,630,7.3,80,22220,1000,750,590,90,170,80,,380,460,135,46,95,25,M24,18.5,447,65A206Y(Z)
800,315,1.25,25,22210,1300,950,720,40,110,70,,260,320,90,33,43,12,M16,2,173,80A103Y(Z)
800,400,1.25,20,22210,1300,950,720,40,110,70,,260,320,90,33,43,12,M16,4,204,80A104Y(Z)
800,400,2,30,22212,1300,950,720,50,110,70,,280,340,100,33,53.5,14,M16,4.2,244,80A204Y(Z)
800,500,2.5,30,22216,1300,950,720,70,140,70,,350,410,120,33,74.5,20,M20,8.9,344,80A105Y(Z)
800,500,4.1,40,22220,1300,950,740,90,170,80,,380,460,135,46,95,25,M24,9.8,457,80A205Y(Z)
800,630,6,50,22220,1300,950,740,90,170,80,,380,460,135,46,95,25,M24,23.5,525,80A106Y(Z)
800,630,12,80,22224,1300,950,740,110,210,110,,440,530,155,46,116,28,M24,29.5,747,80A206Y(Z)
800,630,20,100,22228,1300,950,750,130,250,120,,480,570,170,63,137,32,M30,32,931,80A306Y(Z)
800,800,7,50,22220,1300,950,740,90,170,80,,380,460,135,46,95,25,M24,25,629,80A107Y(Z)
800,800,12,80,22224,1300,950,740,110,210,110,,440,530,155,46,116,28,M24,58,865,80A207Y(Z)
800,800,20,110,22228,1300,950,750,130,250,120,,480,570,170,63,137,32,M30,66.3,1056,80A307Y(Z)
800,800,32,160,22232,1400,950,800,150,250,200,105,520,640,200,65,158,36,M30,67.5,1257,80A407Y(Z)
800,1000,12,80,22224,1300,950,740,110,210,110,,440,530,155,46,116,28,M24,131,1049,80A108Y(Z)
800,1000,20,120,22228,1300,950,750,130,250,120,,480,570,170,63,137,32,M30,136.7,1205,80A208Y(Z)
800,1000,32,190,22232,1400,950,800,150,250,200,105,520,640,200,55,158,36,M30,155,1462,80A308Y(Z)
800,1000,40,240,22236,1400,950,870,170,300,220,120,570,700,220,70,179,40,M30,172.7,1756,80A408Y(Z)
800,1000,52,310,23240,1400,950,870,190,350,255,140,640,780,240,75,200,45,M30,234,2478,80A508Y(Z)
800,1000,66,400,22244,1450,950,895,200,350,300,150,720,880,270,80,210,45,M36,249,2848,80A608Y(Z)
800,1250,40,270,23240,1400,950,870,190,350,255,140,640,780,240,75,200,45,M30,413,2957,80A109Y(Z)
800,1250,66,320,23248,1450,950,925,220,350,300,150,750,900,290,90,231,50,M36,539,3702,80A209Y(Z)
800,1250,80,450,24152,1450,950,925,240,410,320,170,750,900,290,90,252,56,M36,542,3958,80A309Y(Z)
800,1250,120,520,24156,1450,950,925,260,410,320,170,840,1000,310,100,272,56,M36,592,4169,80A409Y(Z)
1000,400,2.5,30,22216,1500,1150,820,70,140,70,,350,410,120,33,74.5,20,M20,5.3,344,100A104Y(Z)
1000,500,3.5,45,22216,1500,1150,820,70,140,70,,350,410,120,33,74.5,20,M20,10.2,388,100A105Y(Z)
1000,500,6.3,75,22220,1500,1150,840,90,170,80,,380,460,135,46,95,25,M24,12.2,508,100A205Y(Z)
1000,630,6,40,22220,1500,1150,840,90,170,80,,380,460,135,46,95,25,M24,26.5,584,100A106Y(Z)
1000,630,12,73,22224,1500,1150,840,110,210,110,,440,530,155,46,116,28,M24,38.3,823,100A206Y(Z)
1000,800,12,73,22224,1500,1150,840,110,210,110,,440,530,155,46,116,28,M24,78.8,955,100A107Y(Z)
1000,800,20,110,22228,1500,1150,850,130,250,120,,480,570,170,63,137,32,M30,80.3,1161,100A207Y(Z)
1000,800,27,160,22232,1600,1150,900,150,250,200,105,520,640,200,65,158,36,M30,81.8,1370,100A307Y(Z)
1000,800,40,190,22236,1600,1150,910,170,300,220,120,570,700,220,70,179,40,M30,83.3,1687,100A407Y(Z)
1000,800,52,320,23240,1600,1150,995,190,350,255,140,640,780,240,75,200,45,M30,120,2313,100A507Y(Z)
1000,1000,12,80,22224,1500,1150,840,110,210,110,,440,530,155,46,116,28,M24,164.8,1172,100A108Y(Z)
1000,1000,20,110,22228,1500,1150,850,130,250,120,,480,570,170,63,137,32,M30,166.8,1336,100A208Y(Z)
1000,1000,27,170,22232,1600,1150,900,150,250,200,105,520,640,200,65,158,36,M30,168.3,1602,100A308Y(Z)
1000,1000,40,210,22236,1600,1150,910,170,300,220,120,570,700,220,70,179,40,M30,170,1908,100A408Y(Z)
1000,1000,52,330,23240,1650,1150,995,190,350,255,140,640,780,240,75,200,45,M30,215.3,2683,100A508Y(Z)
1000,1000,66,400,23244,1650,1150,1000,200,350,270,140,720,880,270,80,210,45,M36,272,3059,100A608Y(Z)
1000,1250,52,320,23244,1650,1150,1000,200,350,270,140,720,880,270,80,210,45,M36,410.7,3498,100A109Y(Z)
1000,1250,66,450,23248,1650,1150,1025,220,350,300,150,750,900,290,90,231,50,M36,583.3,3960,100A209Y(Z)
1000,1250,80,520,24152,1650,1150,1025,240,410,320,170,750,900,290,90,252,56,M36,586.8,4229,100A309Y(Z)
1000,1250,120,660,24156,1650,1150,1025,260,410,320,170,840,1000,310,100,272,56,M36,640,4734,100A409Y(Z)
